bigrama,tfidf_falso,tfidf_verdadeiro,diferenca
datas entrega,6.724669855002344e-05,0.0,6.724669855002344e-05
datas inexistentes,3.1144454110137337e-05,3.772518580626096e-05,-6.580731696123627e-06
datas nao,3.344964893441266e-05,6.811690403882971e-05,-3.4667255104417054e-05
datas proximas,0.0,5.604729702940311e-05,-5.604729702940311e-05
datas valores,7.592441166146127e-05,0.0,7.592441166146127e-05
datena apresentador,0.0001300130288763,0.0,0.0001300130288763
datena radio,4.467988422145848e-05,3.3649031217735295e-05,1.1030853003723184e-05
david beckham,0.0001301253075256,0.0,0.0001301253075256
david bowie,0.000145832913614,8.911258771844657e-05,5.672032589560472e-05
david cameron,8.18836823979885e-05,0.0,8.18836823979885e-05
davila globonews,0.0,0.0002072747102041,-0.0002072747102041
davila pcdob,0.0,0.0001967147188606,-0.0001967147188606
dayse deborah,3.309964205195037e-05,3.96270337302494e-05,-6.527391678299027e-06
debaixo dagua,0.0001395537311749,0.0,0.0001395537311749
debaixo panos,0.0001178553171417,0.0,0.0001178553171417
debaixo tapete,0.0001084788921574,1.5965308341774575e-05,9.25135838156638e-05
debaixo terra,9.632329189869228e-05,9.0411536594545e-05,5.911755304147261e-06
debate 2018,5.687473451754296e-05,5.4535181120219285e-05,2.339553397323679e-06
debate candidatos,3.813817113138981e-05,5.0639724001562696e-05,-1.2501552870172887e-05
debate eleicoes,5.313610575549476e-05,5.545018227899732e-05,-2.31407652350256e-06
debate eleitoral,0.0,0.0001590904136176,-0.0001590904136176
debate nao,7.451070722923618e-05,0.0001300155955873,-5.5504888358067015e-05
debate politico,3.162931284225383e-05,5.4535181120219285e-05,-2.2905868277965452e-05
debate presidencial,3.854483114514658e-05,5.077149317006756e-05,-1.2226662024920982e-05
debate sobre,0.0002081822081016,0.0008722551042861,-0.0006640728961844
debate tribunal,0.0,8.70621537064862e-05,-8.70621537064862e-05
debate veja,0.0,7.395534711356332e-05,-7.395534711356332e-05
debater tema,0.0,0.0001183048015176,-0.0001183048015176
debates redes,4.809174970640111e-05,4.44927756848401e-05,3.598974021561013e-06
debates sobre,0.0,0.0003171920537742,-0.0003171920537742
debitados total,0.0,5.2251550810237913e-05,-5.2251550810237913e-05
debitos tributarios,0.0,7.115726809865686e-05,-7.115726809865686e-05
debitos vencidos,0.0,8.1909563739525e-05,-8.1909563739525e-05
debocha povo,9.567462394785704e-05,0.0,9.567462394785704e-05
debochar paciente,0.0001008952736804,0.0,0.0001008952736804
debora bergamasco,0.0001567967659643,0.0,0.0001567967659643
debora rolim,0.0,0.0002512525203299,-0.0002512525203299
decada 1930,4.6847678450792095e-05,9.09549160351485e-05,-4.410723758435641e-05
decada 1960,8.168906915883108e-05,0.0001352743935526,-5.358532439385752e-05
decada 1970,3.201101011014195e-05,0.0001740648056364,-0.0001420537955262
decada 1980,2.9529050767643244e-05,4.178961368900996e-05,-1.2260562921366714e-05
decada 1990,0.0001298434165522,0.0001366358558894,-6.7924393371451e-06
decada 50,7.562780186724098e-05,0.0,7.562780186724098e-05
decada 60,0.0001940861020148,8.065621215120564e-05,0.0001134298898636
decada 70,3.542874105195835e-05,3.541079180003476e-05,1.7949251923589805e-08
decada 80,0.0001329433069525,0.00010635662956,2.6586677392482675e-05
decada 90,0.0001350900890702,4.533457003902028e-05,8.975551903119157e-05
decadas 70,4.385484952107662e-05,0.0,4.385484952107662e-05
decadas agora,4.539034633891766e-05,3.346519269364829e-05,1.1925153645269373e-05
decadas atras,0.0,0.000200970572084,-0.000200970572084
decadas brasil,2.707052109533609e-05,4.623859729893678e-05,-1.9168076203600684e-05
decadas ditadura,3.1121430377768514e-05,2.7162484793733683e-05,3.958945584034831e-06
decadas nao,3.126527188293242e-05,0.0001186554229793,-8.739015109640233e-05
decadas vida,5.365584331567514e-05,3.370571199793313e-05,1.995013131774201e-05
decano celso,0.0,5.984190807785101e-05,-5.984190807785101e-05
decapita 26,0.0,8.315767104450611e-05,-8.315767104450611e-05
decapitante sede,5.8109956529150736e-05,0.0,5.8109956529150736e-05
decencia brasil,0.0001213559263398,0.0,0.0001213559263398
decente duvido,5.020171560538001e-05,3.9777753985572886e-05,1.0423961619807124e-05
decida sobre,5.176747422453823e-05,4.470752603683417e-05,7.059948187704054e-06
decide criar,5.601596835336484e-05,6.414083143889059e-05,-8.12486308552575e-06
decide entrar,5.103918623257146e-05,4.11701849144217e-05,9.869001318149762e-06
decidem destino,0.0,7.065860580063058e-05,-7.065860580063058e-05
decidir autoriza,0.0,8.011457705094315e-05,-8.011457705094315e-05
decidir nao,0.0,9.265435866276332e-05,-9.265435866276332e-05
decidir sera,0.0,0.0001259797581047,-0.0001259797581047
decidir sobre,7.48571431092116e-05,0.0003408618697491,-0.0002660047266399
decidir vai,0.0,7.95704759980186e-05,-7.95704759980186e-05
decidira sobre,4.822697284252201e-05,3.014858107306504e-05,1.807839176945697e-05
decidiram ainda,0.0,0.0001211666276936,-0.0001211666276936
decidiram casar,2.2460405585436382e-05,3.959169128779247e-05,-1.713128570235609e-05
decidiram deixar,0.0,7.187821508618025e-05,-7.187821508618025e-05
decidiram enviar,3.787212547112569e-05,5.314218064230435e-05,-1.5270055171178662e-05
decidiram ocupar,0.0,9.795441152852583e-05,-9.795441152852583e-05
decidiram participar,4.993214804117348e-05,5.184000112178037e-05,-1.907853080606888e-06
decidirem noticia,3.260528164249034e-05,0.0,3.260528164249034e-05
decidiu abandonar,6.555240408159755e-05,4.283296365268101e-05,2.2719440428916547e-05
decidiu abrir,0.0,0.0001137854909771,-0.0001137854909771
decidiu afastar,9.276952933667946e-05,0.0,9.276952933667946e-05
decidiu agir,0.0001501306653057,0.0,0.0001501306653057
decidiu antecipar,0.0,0.000115987148749,-0.000115987148749
decidiu apoiar,8.350824575375247e-05,0.0,8.350824575375247e-05
decidiu arquivar,2.878571321932693e-05,9.461462433907824e-05,-6.582891111975131e-05
decidiu aumentar,3.998175402558121e-05,3.936772864179876e-05,6.140253837824558e-07
decidiu bem,7.2396273263906e-05,0.0,7.2396273263906e-05
decidiu calar,6.273436639697884e-05,0.0,6.273436639697884e-05
decidiu colocar,8.195700952764139e-05,0.0,8.195700952764139e-05
decidiu combater,3.260528164249034e-05,0.0,3.260528164249034e-05
decidiu convocar,2.414181274837776e-05,8.010404015981204e-05,-5.596222741143428e-05
decidiu dar,0.0001102030022888,0.0001058665461492,4.336456139614423e-06
decidiu deixar,5.494032992168733e-05,0.0001949828429045,-0.0001400425129828
decidiu demitir,7.819787286708778e-05,3.0590745798167686e-05,4.76071270689201e-05
decidiu encaminhar,8.980235820247151e-05,1.6879675968065186e-05,7.292268223440633e-05
decidiu entao,0.0,0.0001714816932124,-0.0001714816932124
decidiu entrar,6.776575278096148e-05,0.0,6.776575278096148e-05
decidiu ex,0.0,9.724980156620404e-05,-9.724980156620404e-05
decidiu excluir,6.707385779928995e-05,6.331373580872373e-05,3.760121990566213e-06
decidiu expulsar,0.0,8.67800920335227e-05,-8.67800920335227e-05
decidiu fazer,0.0001642435875223,0.0001426949672796,2.1548620242740825e-05
decidiu hoje,0.0001465642642761,0.0,0.0001465642642761
decidiu inovar,0.00010413855243,0.0,0.00010413855243
decidiu ir,4.941007103388229e-05,3.811118495768436e-05,1.129888607619792e-05
decidiu ira,0.0001525400677661,0.0,0.0001525400677661
decidiu levar,0.0001167278903226,0.0,0.0001167278903226
decidiu mandar,0.0,5.223751677662018e-05,-5.223751677662018e-05
decidiu manter,0.0001295922110112,0.0001484216110195,-1.8829400008336125e-05
decidiu mirar,0.0001066385658916,0.0,0.0001066385658916
decidiu mudar,0.0,7.958105530302764e-05,-7.958105530302764e-05
decidiu nao,0.0002789347238692,7.831295471860055e-05,0.0002006217691506
decidiu nesta,0.0,0.0008287175928427,-0.0008287175928427
decidiu nomear,3.697428042522056e-05,3.4202460098208395e-05,2.771820327012168e-06
decidiu partir,0.0001379224937949,3.731110771094813e-05,0.0001006113860839
decidiu passar,4.636587194940077e-05,4.856944408636957e-05,-2.203572136968796e-06
decidiu pedir,4.229779464975188e-05,3.0739558206694834e-05,1.1558236443057048e-05
decidiu protestar,6.437225515880218e-05,3.162260381006838e-05,3.27496513487338e-05
decidiu reuniao,0.0,8.92270710257322e-05,-8.92270710257322e-05
decidiu revelar,0.0001362499918973,0.0,0.0001362499918973
decidiu revidar,0.0001278170379133,0.0,0.0001278170379133
decidiu sair,0.0001720771536637,0.0,0.0001720771536637
decidiu seguir,9.47936529302936e-05,4.816752774081712e-05,4.662612518947648e-05
decidiu sobre,0.0,7.570852689750775e-05,-7.570852689750775e-05
decidiu submeter,0.0,8.159332372329337e-05,-8.159332372329337e-05
decidiu suspender,5.579023786485417e-05,0.0001456034619743,-8.981322410949298e-05
decidiu transferir,3.4590441671731434e-05,4.086048667267429e-05,-6.2700450009428585e-06
decidiu vai,4.19822883224844e-05,3.763265988122573e-05,4.349628441258663e-06
decidiu votos,0.0,6.740361132657732e-05,-6.740361132657732e-05
decimo terceiro,5.103918623257146e-05,2.279838848514409e-05,2.8240797747427376e-05
decisao 1ª,0.0,8.334845895196675e-05,-8.334845895196675e-05
decisao 2010,0.0,5.223751677662018e-05,-5.223751677662018e-05
decisao 2016,0.0,5.616928189192271e-05,-5.616928189192271e-05
decisao 8ª,0.0,6.002794575307296e-05,-6.002794575307296e-05
decisao absolutamente,0.0,6.601518380976442e-05,-6.601518380976442e-05
decisao acertada,0.0,6.12960737736063e-05,-6.12960737736063e-05
decisao afasta,5.8194873166205374e-05,0.0,5.8194873166205374e-05
decisao ainda,1.4800882573532348e-05,6.323516069246746e-05,-4.843427811893511e-05
decisao anterior,0.0,9.404766848913418e-05,-9.404766848913418e-05
decisao anunciada,3.2822947961256264e-05,0.0002084035553433,-0.0001755806073821
decisao apenas,4.805590394893778e-05,0.0001076884935664,-5.9632589617560906e-05
decisao assinada,3.813817113138981e-05,4.282133915305075e-05,-4.683168021660945e-06
decisao atacar,3.991606246442768e-05,9.019461391166796e-05,-5.027855144724027e-05
decisao atendeu,0.0,8.802005637852316e-05,-8.802005637852316e-05
decisao baseada,0.0,0.000102590458903,-0.000102590458903
decisao brasilia,0.0,0.0001590387620383,-0.0001590387620383
decisao cabe,3.1150982724159256e-05,3.442402102723133e-05,-3.2730383030720727e-06
decisao camara,7.430497370203762e-05,7.829445724106961e-05,-3.989483539031994e-06
decisao candidatar,2.9792568495129507e-05,2.903178753271116e-05,7.607809624183502e-07
decisao carater,7.283096251210224e-05,3.129211466231715e-05,4.153884784978509e-05
decisao colegiada,2.1969218408570312e-05,8.384337178164429e-05,-6.187415337307398e-05
decisao colegiado,7.176411007477129e-05,7.541000964934884e-05,-3.645899574577545e-06
decisao confirmada,4.271852813688997e-05,3.286966217485188e-05,9.848865962038093e-06
decisao conselho,5.298505036534979e-05,9.742002950261368e-05,-4.443497913726389e-05
decisao corte,0.0,7.110804360575896e-05,-7.110804360575896e-05
decisao defesa,4.353881867532101e-05,5.911533821090453e-05,-1.557651953558352e-05
decisao definitiva,0.0,0.0001249875783353,-0.0001249875783353
decisao derrubada,0.0,6.155211833424805e-05,-6.155211833424805e-05
decisao desembargador,4.561633624749484e-05,4.3349047001005885e-05,2.2672892464889536e-06
decisao desembargadores,0.0,9.336094808888538e-05,-9.336094808888538e-05
decisao desta,0.0,6.863516615067016e-05,-6.863516615067016e-05
decisao determinou,0.0,9.46753835616965e-05,-9.46753835616965e-05
decisao deve,0.0001554866479616,6.269363480606059e-05,9.279301315558712e-05
decisao dias,8.144391506639456e-05,0.0,8.144391506639456e-05
decisao diretores,4.3219595224978e-05,0.0,4.3219595224978e-05
decisao diz,4.010262307380331e-05,8.186742331158263e-05,-4.176480023777932e-05
decisao edson,0.0,9.738470222416608e-05,-9.738470222416608e-05
decisao envolve,6.97533412631929e-05,4.9162721672051336e-05,2.059061959114156e-05
decisao estado,5.280450022920511e-05,6.827386462724551e-05,-1.54693643980404e-05
decisao ex,2.623252775603114e-05,5.317620297850279e-05,-2.6943675222471648e-05
decisao faz,6.288852411684892e-05,4.072603493283273e-05,2.2162489184016187e-05
decisao final,0.0,0.0003488756403711,-0.0003488756403711
decisao gilmar,9.042095540286476e-05,0.0001292740621929,-3.885310679007657e-05
decisao governo,0.0,0.0001759810692633,-0.0001759810692633
decisao ha,0.0,7.569608598275033e-05,-7.569608598275033e-05
decisao hoje,0.0,0.0001639341060248,-0.0001639341060248
decisao iphan,4.613001572161277e-05,0.0,4.613001572161277e-05
decisao ja,4.384026167018677e-05,6.442620224259978e-05,-2.058594057241301e-05
decisao judicial,0.0001265764345244,0.0005221469268442,-0.0003955704923198
decisao juiz,0.0004923482301638,0.0008085632078576,-0.0003162149776938
decisao juiza,8.534354531627186e-05,6.676319392832648e-05,1.858035138794538e-05
decisao justica,7.188223970620766e-05,0.0005685136888976,-0.0004966314491914
decisao liminar,0.0,0.0004872794296981,-0.0004872794296981
decisao lula,3.070815120828487e-05,0.0001167193382608,-8.601118705257524e-05
decisao magistrado,0.0001265734564778,9.263830781667352e-05,3.393514866118744e-05
decisao maioria,0.0,5.7350243073851125e-05,-5.7350243073851125e-05
decisao maluca,0.0001405484129122,0.0,0.0001405484129122
decisao mandar,0.0001339690819974,0.0,0.0001339690819974
decisao marco,0.0,0.0001829275380139,-0.0001829275380139
decisao mesa,0.0,0.0001263226874638,-0.0001263226874638
decisao ministro,0.0005340623241159,0.0006868369463935,-0.0001527746222775
decisao monocratica,0.0001333365399062,2.94015409655722e-05,0.0001039349989406
decisao moro,6.341729345833216e-05,0.0002483590851581,-0.0001849417916998
decisao nao,0.0002467319629225,0.0002292151750316,1.7516787890920204e-05
decisao negou,0.0,4.995536624558549e-05,-4.995536624558549e-05
decisao ontem,0.0,4.196776943672185e-05,-4.196776943672185e-05
decisao partido,4.624066114538331e-05,8.267269422150369e-05,-3.643203307612037e-05
decisao permite,0.0,7.346399014704079e-05,-7.346399014704079e-05
decisao pgr,5.6744449526227085e-05,0.0,5.6744449526227085e-05
decisao pode,0.0001048295488068,9.17293995533282e-05,1.3100149253540537e-05
decisao poder,3.569321165322316e-05,4.335608983595384e-05,-7.66287818273068e-06
decisao presidente,7.467796092101628e-05,0.0001410047552165,-6.632679429552306e-05
decisao primeira,0.0,0.0002607234662834,-0.0002607234662834
decisao processo,4.4782078444867714e-05,5.50449496581375e-05,-1.0262871213269784e-05
decisao proferida,5.168580029350132e-05,5.43942854728745e-05,-2.708485179373181e-06
decisao propria,2.2713155678690328e-05,5.91388608269333e-05,-3.6425705148242976e-05
decisao proprio,0.0,0.0001025226903528,-0.0001025226903528
decisao provisoria,2.916909489247737e-05,0.0002641232374813,-0.0002349541425888
decisao publicada,3.2230261988099165e-05,0.0001867505249399,-0.0001545202629518
decisao rapida,6.262407301547209e-05,5.229338411152758e-05,1.0330688903944508e-05
decisao recente,3.822941790102778e-05,3.418167846541838e-05,4.047739435609406e-06
decisao relator,2.690543449663757e-05,6.199606517325711e-05,-3.509063067661954e-05
decisao respeito,0.0,6.121603180788448e-05,-6.121603180788448e-05
decisao retira,0.0,5.365933836926752e-05,-5.365933836926752e-05
decisao sao,0.0,6.331025726439832e-05,-6.331025726439832e-05
decisao segunda,0.0,0.0001998967483016,-0.0001998967483016
decisao segundo,0.0,9.462934801374456e-05,-9.462934801374456e-05
decisao senado,8.416735113857618e-05,7.319825135938438e-05,1.0969099779191795e-05
decisao sera,0.0,6.6354301308874e-05,-6.6354301308874e-05
decisao sobre,0.0,0.0006283545895496,-0.0006283545895496
decisao stf,0.0002958314868912,0.0006281181056327,-0.0003322866187415
decisao stj,0.0,0.0001508774796182,-0.0001508774796182
decisao superior,0.0,8.171769920712303e-05,-8.171769920712303e-05
decisao suprema,0.0,9.40741657273146e-05,-9.40741657273146e-05
decisao supremo,5.9432112323672136e-05,0.0004410375593795,-0.0003816054470558
decisao surpreendeu,4.460140616021453e-05,5.694360449843065e-05,-1.2342198338216115e-05
decisao suspendeu,4.110271476512706e-05,5.0097323268901467e-05,-8.994608503774403e-06
decisao tambem,0.0,0.0001842466283212,-0.0001842466283212
decisao temer,0.0,0.0001332556120345,-0.0001332556120345
decisao temporaria,0.0,8.77993680853791e-05,-8.77993680853791e-05
decisao teori,0.0001717914942204,4.5132874114830175e-05,0.0001266586201056
decisao todos,4.471846844160851e-05,4.300002338725272e-05,1.7184450543557882e-06
decisao tomada,0.0005886424497945,0.0006818794915694,-9.323704177483935e-05
decisao trf,3.8848764835890494e-05,0.0001366545619971,-9.780579716125312e-05
decisao tribunal,0.0,0.0003272239786727,-0.0003272239786727
decisao trump,0.0,0.0001146486953849,-0.0001146486953849
decisao tse,3.726132756012482e-05,0.0001673436244737,-0.0001300822969136
decisao turma,0.0,7.45024138357876e-05,-7.45024138357876e-05
decisao ultima,0.0,0.0001175901790965,-0.0001175901790965
decisao unanime,0.0001008270857752,0.0004405424087181,-0.0003397153229429
decisao vai,0.0,6.0009117439205165e-05,-6.0009117439205165e-05
decisao ver,2.844145635982363e-05,4.44072753307997e-05,-1.596581897097607e-05
decisao waldir,7.87743949747243e-05,0.0,7.87743949747243e-05
decisoes banco,0.0,8.037388370201552e-05,-8.037388370201552e-05
decisoes cautelares,3.5163376029062104e-05,4.129548866778743e-05,-6.132112638725321e-06
decisoes conselho,3.482077782363017e-05,3.3959947686384084e-05,8.608301372460892e-07
decisoes consideradas,0.0,0.0001116272217226,-0.0001116272217226
decisoes importantes,7.452829435951594e-05,0.0001141356505646,-3.960735620512687e-05
decisoes judiciais,9.364172021309507e-05,0.0001716681875182,-7.80264673051469e-05
decisoes juizes,4.1017914782323456e-05,3.375444388807851e-05,7.263470894244945e-06
decisoes ministro,0.0001216155011082,3.964903173236237e-05,8.196646937593571e-05
decisoes nao,4.219298447438005e-05,3.783492584975968e-05,4.358058624620378e-06
decisoes polemicas,4.60138300198267e-05,9.022371885372024e-05,-4.420988883389355e-05
decisoes politicas,0.0,7.85181893686869e-05,-7.85181893686869e-05
decisoes presente,3.971129512537941e-05,3.391953562319304e-05,5.791759502186368e-06
decisoes presidente,3.294763363335014e-05,4.8231852491238205e-05,-1.5284218857888062e-05
decisoes sao,9.729300911828943e-05,0.0,9.729300911828943e-05
decisoes sobre,0.0001576220607064,0.0001397064916916,1.7915569014774013e-05
decisoes stf,0.0,0.0001158670839706,-0.0001158670839706
decisoes tomadas,0.0001639535147266,8.96925600026009e-05,7.42609547240684e-05
declara guerra,0.0001948770428605,0.0001074498352081,8.742720765240032e-05
declara hora,6.878728772959929e-05,0.0,6.878728772959929e-05
declara nao,7.508889367030766e-05,3.653108475757674e-05,3.855780891273092e-05
declaracao comando,3.459743809011746e-05,3.017587361415576e-05,4.421564475961704e-06
declaracao consta,0.0,9.843964317929792e-05,-9.843964317929792e-05
declaracao contra,0.0,8.20310089730464e-05,-8.20310089730464e-05
declaracao dada,8.364296204414596e-05,0.0003046221370106,-0.0002209791749665
declaracao deputado,8.33390206520569e-05,0.0,8.33390206520569e-05
declaracao diretor,0.0,7.513511557993761e-05,-7.513511557993761e-05
declaracao discurso,0.0,0.0001708006791689,-0.0001708006791689
declaracao divulgada,2.663644338505142e-05,0.0001146083514341,-8.79719080491466e-05
declaracao durante,0.0,0.0001309595945453,-0.0001309595945453
declaracao ex,0.0001234494734633,0.0001504192265234,-2.696975306018136e-05
declaracao falsa,7.306018189328085e-05,0.0,7.306018189328085e-05
declaracao feita,0.0002424149921623,0.0001503308208705,9.20841712918152e-05
declaracao foliao,9.811068935225736e-05,0.0,9.811068935225736e-05
declaracao general,8.339002991582521e-05,0.0,8.339002991582521e-05
declaracao guerra,7.501341251608899e-05,0.0001507090328778,-7.569562036177985e-05
declaracao imposto,4.112718750803495e-05,3.420455983748121e-05,6.922627670553735e-06
declaracao imprensa,0.0,0.0002013674175392,-0.0002013674175392
declaracao lula,0.000235194651575,0.0,0.000235194651575
declaracao militarista,6.541642529750438e-05,0.0,6.541642529750438e-05
declaracao ministro,8.927585603037953e-05,0.0,8.927585603037953e-05
declaracao nao,0.0,5.892563348436778e-05,-5.892563348436778e-05
declaracao ocorre,0.0,0.0001031167075236,-0.0001031167075236
declaracao pagina,0.0,6.856721075222231e-05,-6.856721075222231e-05
declaracao polemica,0.0001919498463641,0.0001281639116323,6.378593473178201e-05
declaracao pouco,7.754588790060442e-05,0.0,7.754588790060442e-05
declaracao presidente,0.0001288541816499,8.138691754130134e-05,4.746726410869399e-05
declaracao questionado,0.0,0.000169191371619,-0.000169191371619
declaracao resposta,0.0,8.080878677472815e-05,-8.080878677472815e-05
declaracao sobre,8.812900001366055e-05,4.1968564115846e-05,4.616043589781455e-05
declaracao trump,4.291909749986468e-05,4.766000198013366e-05,-4.740904480268987e-06
declaracoes dadas,5.751012404641217e-05,0.0001642007461334,-0.000106690622087
declaracoes diretor,0.0,6.849712253286691e-05,-6.849712253286691e-05
declaracoes durante,0.0,6.380853451041859e-05,-6.380853451041859e-05
declaracoes ex,9.263932603339964e-05,9.732158494538117e-05,-4.682258911981515e-06
declaracoes favoraveis,6.648250713278431e-05,0.0,6.648250713278431e-05
declaracoes feitas,3.0864239755095336e-05,0.0001103317154121,-7.946747565709688e-05
declaracoes general,0.0001002728791223,0.0,0.0001002728791223
declaracoes homofobicas,5.313610575549476e-05,5.545018227899732e-05,-2.31407652350256e-06
declaracoes melo,5.761306048981123e-05,0.0,5.761306048981123e-05
declaracoes ministro,4.309056399891032e-05,7.424881214610563e-05,-3.115824814719531e-05
declaracoes palocci,0.0,5.647895629904428e-05,-5.647895629904428e-05
declaracoes polemicas,0.0001158778172156,3.538878874030292e-05,8.048902847535401e-05
declaracoes presidente,0.0,0.0001149902848158,-0.0001149902848158
declaracoes prestadas,3.9780124685269774e-05,6.548218236119809e-05,-2.570205767592832e-05
declaracoes publicas,3.0288938656277168e-05,7.825415015430892e-05,-4.796521149803176e-05
declaracoes recentes,3.2496819334844574e-05,6.25972324673197e-05,-3.010041313247512e-05
declaracoes secretario,0.0,7.097314599100145e-05,-7.097314599100145e-05
declaracoes senador,0.0001020363655367,0.0,0.0001020363655367
declaracoes sobre,8.631962253102987e-05,2.719404233121878e-05,5.912558019981109e-05
declaradas tse,7.77875310313666e-05,2.7148409326520956e-05,5.063912170484565e-05
declarado receita,0.0,5.3692485137587885e-05,-5.3692485137587885e-05
declarados justica,0.0,9.252195939521662e-05,-9.252195939521662e-05
declarados prestacao,3.636603260270593e-05,6.410600230823653e-05,-2.7739969705530595e-05
declaram apoio,6.748220599074572e-05,0.0,6.748220599074572e-05
declaram favoraveis,2.9760475475889035e-05,5.685518723521405e-05,-2.7094711759325017e-05
declaram voto,0.0,5.163150081553795e-05,-5.163150081553795e-05
declarar apoio,0.0001459506512958,0.0,0.0001459506512958
declarar guerra,9.250916418328988e-05,0.0,9.250916418328988e-05
declarar nao,0.0001362834359748,2.877282093647061e-05,0.0001075106150383
declarar suspeito,9.076465540513014e-05,3.057016941946231e-05,6.019448598566783e-05
declararam favoraveis,0.0,8.394960322429912e-05,-8.394960322429912e-05
declararam guerra,6.923878957680474e-05,0.0001075729788781,-3.833418930131431e-05
declararam publicamente,8.281182922749787e-05,0.0,8.281182922749787e-05
declarasse suspeito,3.971129512537941e-05,3.1605358198693044e-05,8.105936926686365e-06
declare vago,0.0001456461116368,0.0,0.0001456461116368
declarou agora,4.487669170331479e-05,3.3110147835721095e-05,1.1766543867593695e-05
declarou ainda,9.157724456402728e-05,4.193602247182711e-05,4.964122209220017e-05
declarou antes,0.0,5.160862156992541e-05,-5.160862156992541e-05
declarou apoio,7.541055249425652e-05,2.651973729184745e-05,4.889081520240906e-05
declarou apos,6.541642529750438e-05,0.0,6.541642529750438e-05
declarou ataque,9.07891851593907e-05,0.0,9.07891851593907e-05
declarou atraves,9.082533024852086e-05,0.0,9.082533024852086e-05
declarou coreia,0.0001210938915127,4.961199053450109e-05,7.14819009782692e-05
declarou delegado,8.153882542615105e-05,0.0,8.153882542615105e-05
declarou depoimento,8.934865089418099e-05,0.0,8.934865089418099e-05
declarou deputada,2.7067897724310396e-05,0.0,2.7067897724310396e-05
declarou dia,8.97717395907749e-05,0.0,8.97717395907749e-05
declarou embaixador,3.4727016826466505e-05,4.575120908399284e-05,-1.1024192257526334e-05
declarou entrevista,0.0001554542336774,6.770388595784329e-05,8.775034771962213e-05
declarou estado,5.32398740870002e-05,3.0778831170135684e-05,2.2461042916864517e-05
declarou eua,9.051505485937285e-05,0.0,9.051505485937285e-05
declarou ex,0.0001187020341458,0.0,0.0001187020341458
declarou foro,7.121608309692759e-05,0.0,7.121608309692759e-05
declarou general,0.0001645749870312,4.438840215546831e-05,0.0001201865848757
declarou guerra,0.000143211179268,0.0,0.000143211179268
declarou ha,9.72557586020306e-05,0.0,9.72557586020306e-05
declarou hoje,9.686508955810848e-05,0.0,9.686508955810848e-05
declarou jornal,0.0001319339693586,0.0,0.0001319339693586
declarou juiz,3.672941544325773e-05,8.63929511764243e-05,-4.966353573316656e-05
declarou justica,3.722506216532624e-05,4.240541024383567e-05,-5.180348078509437e-06
declarou lula,3.80602743112412e-05,5.158424327817424e-05,-1.3523968966933045e-05
declarou ministro,9.388069054202536e-05,0.0,9.388069054202536e-05
declarou nao,0.0006329225430984,6.77291961001427e-05,0.0005651933469982
declarou nesta,2.7098020297647376e-05,0.000131577764673,-0.0001044797443753
declarou neste,0.0,0.0001163893015561,-0.0001163893015561
declarou novo,4.721472359976405e-05,3.7274721542531184e-05,9.940002057232866e-06
declarou oficialmente,5.1867186351192266e-05,0.0,5.1867186351192266e-05
declarou pais,3.131140781358963e-05,4.493707528022255e-05,-1.3625667466632914e-05
declarou policia,5.916948113949847e-05,4.14442311163132e-05,1.772525002318527e-05
declarou presidente,0.0001423542546225,2.099920419126789e-05,0.0001213550504312
declarou publicamente,4.3166824380155895e-05,3.0229043291029952e-05,1.2937781089125945e-05
declarou realmente,9.690117939709626e-05,0.0,9.690117939709626e-05
declarou sera,0.0001194015116077,0.0,0.0001194015116077
declarou situacao,0.0,9.324775484676448e-05,-9.324775484676448e-05
declarou suspeito,3.333608574158392e-05,3.827611461869888e-05,-4.9400288771149565e-06
declarou ter,0.0001228324392068,0.0,0.0001228324392068
declarou trump,4.710850736991497e-05,0.000108428956007,-6.132044863715629e-05
declarou tse,9.282235710268488e-05,0.0,9.282235710268488e-05
declarou twitter,3.930933494505527e-05,2.257106994353146e-05,1.6738265001523805e-05
declarou ultimo,0.0001142517930157,0.0,0.0001142517930157
declarou varias,3.741775976864856e-05,4.0278096471845415e-05,-2.860336703196855e-06
decolado fazenda,0.0,7.977202164307674e-05,-7.977202164307674e-05
decolaria campo,6.466080978049438e-05,0.0,6.466080978049438e-05
decolou fazenda,8.87003302613955e-05,3.694900174568871e-05,5.175132851570679e-05
decoro parlamentar,0.0004087393360237,0.0003642396708461,4.4499665177588014e-05
decorrencia cancer,0.0001389792358188,0.000113501847727,2.547738809177176e-05
decorrencia complicacoes,9.117392756498043e-05,0.0,9.117392756498043e-05
decorrente intervencao,0.0,7.258084353866095e-05,-7.258084353866095e-05
decorrente operacao,0.0,0.0001155574048262,-0.0001155574048262
decorrer proximo,9.011130367110304e-05,0.0,9.011130367110304e-05
decreta prisao,4.089612006066122e-05,9.271638390670814e-05,-5.182026384604692e-05
decretada antes,4.495070694670165e-05,4.997274432280143e-05,-5.022037376099774e-06
decretada juiz,3.589618021176304e-05,9.555916603361204e-05,-5.966298582184901e-05
decretada justica,2.4838278902265247e-05,2.837458726013066e-05,-3.5363083578654136e-06
decretada prisao,8.478530272558412e-05,0.0,8.478530272558412e-05
decretada qualquer,0.0001815110934881,0.0,0.0001815110934881
decretar estado,0.0002175895431535,6.603765081398883e-05,0.0001515518923395
decretar intervencao,0.0,0.0001641183993532,-0.0001641183993532
